"","speciesId","species_lsid","family","genus","species","subspecies","author","year","parentheses","distribution"
"24",24,"urn:lsid:nmbe.ch:spidersp:000920","Actinopodidae","Actinopus","trinotatus","","Mello-Leitão",1938,0,"Brazil"
"25",25,"urn:lsid:nmbe.ch:spidersp:000921","Actinopodidae","Actinopus","valencianus","","Simon",1889,1,"Venezuela"
"26",26,"urn:lsid:nmbe.ch:spidersp:000922","Actinopodidae","Actinopus","wallacei","","F. O. Pickard-Cambridge",1896,0,"Brazil"
"27",27,"urn:lsid:nmbe.ch:spidersp:000923","Actinopodidae","Actinopus","xenus","","Chamberlin",1917,0,"South America"
"28",28,"urn:lsid:nmbe.ch:spidersp:000924","Actinopodidae","Missulena","bradleyi","","Rainbow",1914,0,"Australia (New South Wales)"
"29",29,"urn:lsid:nmbe.ch:spidersp:000925","Actinopodidae","Missulena","dipsaca","","Faulder",1995,0,"Australia"
"30",30,"urn:lsid:nmbe.ch:spidersp:045858","Actinopodidae","Missulena","faulderi","","Harms & Framenau",2013,0,"Australia (Western Australia)"
"31",31,"urn:lsid:nmbe.ch:spidersp:000926","Actinopodidae","Missulena","granulosa","","O. Pickard-Cambridge",1869,1,"Australia (Western Australia)"
"32",32,"urn:lsid:nmbe.ch:spidersp:000927","Actinopodidae","Missulena","hoggi","","Womersley",1943,0,"Australia (Western Australia)"
"33",33,"urn:lsid:nmbe.ch:spidersp:000928","Actinopodidae","Missulena","insignis","","O. Pickard-Cambridge",1877,1,"Australia"
"34",34,"urn:lsid:nmbe.ch:spidersp:045859","Actinopodidae","Missulena","langlandsi","","Harms & Framenau",2013,0,"Australia (Western Australia)"
"35",35,"urn:lsid:nmbe.ch:spidersp:000929","Actinopodidae","Missulena","occatoria","","Walckenaer",1805,0,"Australia (Southern Australia)"
"36",36,"urn:lsid:nmbe.ch:spidersp:000930","Actinopodidae","Missulena","pruinosa","","Levitt-Gregg",1966,0,"Australia (Western Australia, Northern Territory)"
"37",37,"urn:lsid:nmbe.ch:spidersp:000931","Actinopodidae","Missulena","reflexa","","Rainbow & Pulleine",1918,0,"Australia (South Australia)"
"38",38,"urn:lsid:nmbe.ch:spidersp:000932","Actinopodidae","Missulena","rutraspina","","Faulder",1995,0,"Australia (Western Australia, South Australia, Victoria)"
"39",39,"urn:lsid:nmbe.ch:spidersp:000933","Actinopodidae","Missulena","torbayensis","","Main",1996,0,"Australia (Western Australia)"
"40",40,"urn:lsid:nmbe.ch:spidersp:000934","Actinopodidae","Missulena","tussulena","","Goloboff",1994,0,"Chile"
"41",41,"urn:lsid:nmbe.ch:spidersp:000935","Actinopodidae","Plesiolena","bonneti","","Zapfe",1961,1,"Chile"
"42",42,"urn:lsid:nmbe.ch:spidersp:000936","Actinopodidae","Plesiolena","jorgelina","","Goloboff",1994,0,"Chile"
"43",43,"urn:lsid:nmbe.ch:spidersp:041793","Agelenidae","Acutipetala","donglini","","Dankittipakul & Zhang",2008,0,"Thailand"
"44",44,"urn:lsid:nmbe.ch:spidersp:041792","Agelenidae","Acutipetala","octoginta","","Dankittipakul & Zhang",2008,0,"Thailand"
"45",45,"urn:lsid:nmbe.ch:spidersp:020824","Agelenidae","Gorbiscape","agelenoides","","Walckenaer",1841,1,"Western Mediterranean"
"46",46,"urn:lsid:nmbe.ch:spidersp:020825","Agelenidae","Agelena","annulipedella","","Strand",1913,0,"Uganda or DR Congo"
"47",47,"urn:lsid:nmbe.ch:spidersp:020826","Agelenidae","Agelena","atlantea","","Fage",1938,0,"Morocco"
"48",48,"urn:lsid:nmbe.ch:spidersp:020827","Agelenidae","Agelena","australis","","Simon",1896,0,"Kenya, Namibia, Botswana, Zimbabwe, South Africa"
"49",49,"urn:lsid:nmbe.ch:spidersp:040190","Agelenidae","Agelena","babai","","Tanikawa",2005,0,"Japan"
"50",50,"urn:lsid:nmbe.ch:spidersp:020828","Agelenidae","Agelena","barunae","","Tikader",1970,0,"India"
"51",51,"urn:lsid:nmbe.ch:spidersp:020829","Agelenidae","Allagelena","bifida","","Wang",1997,1,"China"
"52",52,"urn:lsid:nmbe.ch:spidersp:020831","Agelenidae","Agelena","borbonica","","Vinson",1863,0,"Réunion"
"53",53,"urn:lsid:nmbe.ch:spidersp:020832","Agelenidae","Agelena","canariensis","","Lucas",1838,0,"Canary Is., Morocco, Algeria"
"54",54,"urn:lsid:nmbe.ch:spidersp:040191","Agelenidae","Agelena","chayu","","Zhang, Zhu & Song",2005,0,"China"
"55",55,"urn:lsid:nmbe.ch:spidersp:020833","Agelenidae","Agelena","choi","","Paik",1965,0,"Korea"
"56",56,"urn:lsid:nmbe.ch:spidersp:020834","Agelenidae","Agelena","consociata","","Denis",1965,0,"Gabon"
"57",57,"urn:lsid:nmbe.ch:spidersp:040192","Agelenidae","Agelena","cuspidata","","Zhang, Zhu & Song",2005,0,"China"
"58",58,"urn:lsid:nmbe.ch:spidersp:020839","Agelenidae","Agelena","doris","","Hogg",1922,0,"Vietnam"
"59",59,"urn:lsid:nmbe.ch:spidersp:020840","Agelenidae","Agelena","dubiosa","","Strand",1908,0,"Ethiopia, Rwanda"
"60",60,"urn:lsid:nmbe.ch:spidersp:020841","Agelenidae","Mistaria","fagei","","Caporiacco",1949,1,"Kenya"
"61",61,"urn:lsid:nmbe.ch:spidersp:020842","Agelenidae","Agelena","funerea","","Simon",1909,0,"Ethiopia"
"62",62,"urn:lsid:nmbe.ch:spidersp:020843","Agelenidae","Agelena","gaerdesi","","Roewer",1955,0,"Namibia, Botswana, South Africa"
"63",63,"urn:lsid:nmbe.ch:spidersp:020844","Agelenidae","Agelena","gautami","","Tikader",1962,0,"India"
"64",64,"urn:lsid:nmbe.ch:spidersp:020845","Agelenidae","Agelena","gomerensis","","Wunderlich",1992,0,"Canary Is."
"65",65,"urn:lsid:nmbe.ch:spidersp:020846","Agelenidae","Agelena","gonzalezi","","Schmidt",1980,0,"Canary Is."
"66",66,"urn:lsid:nmbe.ch:spidersp:020848","Agelenidae","Agelena","hirsutissima","","Caporiacco",1940,0,"Ethiopia"
"67",67,"urn:lsid:nmbe.ch:spidersp:020849","Agelenidae","Agelena","howelli","","Benoit",1978,0,"Tanzania"
"68",68,"urn:lsid:nmbe.ch:spidersp:020850","Agelenidae","Agelena","incertissima","","Caporiacco",1939,0,"Ethiopia"
"69",69,"urn:lsid:nmbe.ch:spidersp:020851","Agelenidae","Agelena","inda","","Simon",1897,0,"India"
"70",70,"urn:lsid:nmbe.ch:spidersp:020852","Agelenidae","Agelena","injuria","","Fox",1936,0,"China"
"71",71,"urn:lsid:nmbe.ch:spidersp:020853","Agelenidae","Mistaria","jaundea","","Roewer",1955,1,"Cameroon"
"72",72,"urn:lsid:nmbe.ch:spidersp:020854","Agelenidae","Agelena","jirisanensis","","Paik",1965,0,"Korea"
"73",73,"urn:lsid:nmbe.ch:spidersp:020855","Agelenidae","Mistaria","jumbo","","Strand",1913,1,"DR Congo, Rwanda"
"74",74,"urn:lsid:nmbe.ch:spidersp:020856","Agelenidae","Mistaria","kiwuensis","","Strand",1913,1,"DR Congo"
"75",75,"urn:lsid:nmbe.ch:spidersp:020857","Agelenidae","Mistaria","keniana","","Roewer",1955,1,"Kenya"
"76",76,"urn:lsid:nmbe.ch:spidersp:020858","Agelenidae","Mistaria","kiboschensis","","Lessert",1915,1,"Tanzania"
"77",77,"urn:lsid:nmbe.ch:spidersp:020860","Agelenidae","Agelena","labyrinthica","","Clerck",1757,1,"Europe to Central Asia, Mongolia, China, Korea, Japan"
"78",78,"urn:lsid:nmbe.ch:spidersp:020861","Agelenidae","Mistaria","lawrencei","","Roewer",1955,1,"Zimbabwe"
"79",79,"urn:lsid:nmbe.ch:spidersp:020862","Agelenidae","Agelena","limbata","","Thorell",1897,0,"China, Myanmar, Laos"
"80",80,"urn:lsid:nmbe.ch:spidersp:020863","Agelenidae","Agelena","lingua","","Strand",1913,0,"Central Africa"
"81",81,"urn:lsid:nmbe.ch:spidersp:020864","Agelenidae","Agelena","littoricola","","Strand",1913,0,"Central Africa"
"82",82,"urn:lsid:nmbe.ch:spidersp:020865","Agelenidae","Mistaria","longimamillata","","Roewer",1955,1,"Mozambique"
"83",84,"urn:lsid:nmbe.ch:spidersp:020867","Agelenidae","Agelena","lukla","","Nishikawa",1980,0,"Nepal, China"
"84",85,"urn:lsid:nmbe.ch:spidersp:020868","Agelenidae","Agelena","maracandensis","","Charitonov",1946,1,"Central Asia"
"85",88,"urn:lsid:nmbe.ch:spidersp:020872","Agelenidae","Mistaria","moschiensis","","Roewer",1955,1,"Tanzania"
"86",89,"urn:lsid:nmbe.ch:spidersp:020873","Agelenidae","Mistaria","mossambica","","Roewer",1955,1,"Mozambique"
"87",90,"urn:lsid:nmbe.ch:spidersp:020874","Agelenidae","Mistaria","nairobii","","Caporiacco",1949,1,"Central, East Africa"
"88",91,"urn:lsid:nmbe.ch:spidersp:020875","Agelenidae","Agelena","nigra","","Caporiacco",1940,0,"Ethiopia"
"89",92,"urn:lsid:nmbe.ch:spidersp:020876","Agelenidae","Mistaria","nyassana","","Roewer",1955,1,"Malawi"
"90",93,"urn:lsid:nmbe.ch:spidersp:020877","Agelenidae","Agelena","oaklandensis","","Barman",1979,0,"India"
"91",94,"urn:lsid:nmbe.ch:spidersp:020879","Agelenidae","Agelena","orientalis","","C. L. Koch",1837,0,"Italy to Central Asia, Iraq, Iran"
"92",95,"urn:lsid:nmbe.ch:spidersp:020881","Agelenidae","Agelena","poliosata","","Wang",1991,0,"China"
"93",96,"urn:lsid:nmbe.ch:spidersp:020882","Agelenidae","Agelena","republicana","","Darchen",1967,0,"Gabon"
"94",97,"urn:lsid:nmbe.ch:spidersp:020884","Agelenidae","Agelena","satmila","","Tikader",1970,0,"India"
"95",98,"urn:lsid:nmbe.ch:spidersp:020885","Agelenidae","Allagelena","scopulata","","Wang",1991,1,"China"
"96",99,"urn:lsid:nmbe.ch:spidersp:020886","Agelenidae","Agelena","secsuensis","","Lendl",1898,0,"China"
"97",100,"urn:lsid:nmbe.ch:spidersp:020887","Agelenidae","Agelena","sherpa","","Nishikawa",1980,0,"Nepal"
"98",101,"urn:lsid:nmbe.ch:spidersp:020888","Agelenidae","Agelena","shillongensis","","Tikader",1969,0,"India"
"99",102,"urn:lsid:nmbe.ch:spidersp:039417","Agelenidae","Agelena","silvatica","","Oliger",1983,0,"Russia (Far East), Korea, Japan, China, Taiwan"
"100",103,"urn:lsid:nmbe.ch:spidersp:020891","Agelenidae","Agelena","suboculata","","Simon",1910,0,"Botswana"
"101",104,"urn:lsid:nmbe.ch:spidersp:020892","Agelenidae","Benoitia","tadzhika","","Andreeva",1976,1,"Russia (Europe) to Central Asia "
"102",105,"urn:lsid:nmbe.ch:spidersp:020893","Agelenidae","Agelena","tenerifensis","","Wunderlich",1992,0,"Canary Is."
"103",106,"urn:lsid:nmbe.ch:spidersp:020894","Agelenidae","Agelena","tenuella","","Roewer",1955,0,"Cameroon"
"104",107,"urn:lsid:nmbe.ch:spidersp:020895","Agelenidae","Agelena","tenuis","","Hogg",1922,0,"Vietnam"
"105",108,"urn:lsid:nmbe.ch:spidersp:020896","Agelenidae","Mistaria","teteana","","Roewer",1955,1,"Mozambique"
"106",109,"urn:lsid:nmbe.ch:spidersp:020898","Agelenidae","Agelena","tungchis","","Lee",1998,0,"Taiwan"
"107",110,"urn:lsid:nmbe.ch:spidersp:020899","Agelenidae","Mistaria","zorica","","Strand",1913,1,"Central, East Africa"
"108",111,"urn:lsid:nmbe.ch:spidersp:020900","Agelenidae","Mistaria","zuluana","","Roewer",1955,1,"South Africa"
"109",112,"urn:lsid:nmbe.ch:spidersp:020901","Agelenidae","Agelenella","pusilla","","Pocock",1903,1,"Yemen (mainland, Socotra)"
"110",113,"urn:lsid:nmbe.ch:spidersp:020902","Agelenidae","Agelenopsis","actuosa","","Gertsch & Ivie",1936,1,"USA, Canada"
"111",114,"urn:lsid:nmbe.ch:spidersp:020903","Agelenidae","Agelenopsis","aleenae","","Chamberlin & Ivie",1935,0,"USA"
"112",115,"urn:lsid:nmbe.ch:spidersp:020904","Agelenidae","Agelenopsis","aperta","","Gertsch",1934,1,"USA, Mexico"
"113",116,"urn:lsid:nmbe.ch:spidersp:020905","Agelenidae","Agelenopsis","emertoni","","Chamberlin & Ivie",1935,0,"USA"
"114",117,"urn:lsid:nmbe.ch:spidersp:020906","Agelenidae","Agelenopsis","kastoni","","Chamberlin & Ivie",1941,0,"USA"
"115",118,"urn:lsid:nmbe.ch:spidersp:020907","Agelenidae","Agelenopsis","longistyla","","Banks",1901,1,"USA"
"116",119,"urn:lsid:nmbe.ch:spidersp:020908","Agelenidae","Agelenopsis","naevia","","Walckenaer",1841,1,"USA, Canada"
"117",120,"urn:lsid:nmbe.ch:spidersp:020909","Agelenidae","Agelenopsis","oklahoma","","Gertsch",1936,1,"USA, Canada"
"118",121,"urn:lsid:nmbe.ch:spidersp:020910","Agelenidae","Agelenopsis","oregonensis","","Chamberlin & Ivie",1935,0,"USA, Canada"
"119",122,"urn:lsid:nmbe.ch:spidersp:020911","Agelenidae","Agelenopsis","pennsylvanica","","C. L. Koch",1843,1,"USA"
"120",123,"urn:lsid:nmbe.ch:spidersp:020912","Agelenidae","Agelenopsis","potteri","","Blackwall",1846,1,"North America. Introduced to Ukraine, Russia (Europe, Far East), Kirgizstan, China"
"121",124,"urn:lsid:nmbe.ch:spidersp:020913","Agelenidae","Agelenopsis","spatula","","Chamberlin & Ivie",1935,0,"USA"
"122",125,"urn:lsid:nmbe.ch:spidersp:020914","Agelenidae","Agelenopsis","utahana","","Chamberlin & Ivie",1933,1,"USA, Canada"
"123",126,"urn:lsid:nmbe.ch:spidersp:020835","Agelenidae","Ageleradix","cymbiforma","","Wang",1991,1,"China"
"124",127,"urn:lsid:nmbe.ch:spidersp:020880","Agelenidae","Ageleradix","otiforma","","Wang",1991,1,"China"
"125",128,"urn:lsid:nmbe.ch:spidersp:040193","Agelenidae","Ageleradix","sichuanensis","","Xu & Li",2007,0,"China"
"126",129,"urn:lsid:nmbe.ch:spidersp:041662","Agelenidae","Ageleradix","schwendingeri","","Zhang, Li & Xu",2008,0,"China"
"127",130,"urn:lsid:nmbe.ch:spidersp:041663","Agelenidae","Ageleradix","sternseptum","","Zhang, Li & Xu",2008,0,"China"
"128",131,"urn:lsid:nmbe.ch:spidersp:041664","Agelenidae","Ageleradix","zhishengi","","Zhang, Li & Xu",2008,0,"China"
"129",132,"urn:lsid:nmbe.ch:spidersp:020915","Agelenidae","Agelescape","affinis","","Kulczyński",1911,1,"Syria, Israel, Lebanon?"
"130",133,"urn:lsid:nmbe.ch:spidersp:040194","Agelenidae","Persiscape","caucasica","","Guseinov, Marusik & Koponen",2005,1,"Greece, Turkey, Georgia, Azerbaijan "
"131",135,"urn:lsid:nmbe.ch:spidersp:020916","Agelenidae","Persiscape","gideoni","","Levy",1996,1,"Turkey, Georgia, Armenia, Azerbaijan, Israel, Iran"
"132",136,"urn:lsid:nmbe.ch:spidersp:040196","Agelenidae","Persiscape","levyi","","Guseinov, Marusik & Koponen",2005,1,"Azerbaijan, Iran"
"133",137,"urn:lsid:nmbe.ch:spidersp:020917","Agelenidae","Agelescape","livida","","Simon",1875,1,"Mediterranean"
"134",139,"urn:lsid:nmbe.ch:spidersp:020918","Agelenidae","Ahua","dentata","","Forster & Wilton",1973,0,"New Zealand"
"135",140,"urn:lsid:nmbe.ch:spidersp:020919","Agelenidae","Ahua","insula","","Forster & Wilton",1973,0,"New Zealand"
"136",141,"urn:lsid:nmbe.ch:spidersp:020920","Agelenidae","Ahua","kaituna","","Forster & Wilton",1973,0,"New Zealand"
"137",142,"urn:lsid:nmbe.ch:spidersp:020921","Agelenidae","Ahua","vulgaris","","Forster & Wilton",1973,0,"New Zealand"
"138",143,"urn:lsid:nmbe.ch:spidersp:020830","Agelenidae","Allagelena","bistriata","","Grube",1861,1,"Russia (Far East), China"
"139",144,"urn:lsid:nmbe.ch:spidersp:020837","Agelenidae","Allagelena","difficilis","","Fox",1936,1,"China, Korea"
"140",145,"urn:lsid:nmbe.ch:spidersp:020838","Agelenidae","Allagelena","donggukensis","","Kim",1996,1,"Korea, Japan"
"141",146,"urn:lsid:nmbe.ch:spidersp:020847","Agelenidae","Allagelena","gracilens","","C. L. Koch",1841,1,"Europe to Central Asia"
"142",147,"urn:lsid:nmbe.ch:spidersp:020859","Agelenidae","Allagelena","koreana","","Paik",1965,1,"China, Korea"
"143",148,"urn:lsid:nmbe.ch:spidersp:040198","Agelenidae","Allagelena","monticola","","Chami-Kranon, Likhitrakarn & Dankittipakul",2007,0,"Thailand"
"144",149,"urn:lsid:nmbe.ch:spidersp:020878","Agelenidae","Allagelena","opulenta","","L. Koch",1878,1,"Korea, Japan"
"145",150,"urn:lsid:nmbe.ch:spidersp:022651","Agelenidae","Alloclubionoides","amurensis","","Ovtchinnikov",1999,1,"Russia (Far East)"
"146",151,"urn:lsid:nmbe.ch:spidersp:022729","Agelenidae","Alloclubionoides","bifidus","","Paik",1976,1,"Korea"
"147",154,"urn:lsid:nmbe.ch:spidersp:041104","Agelenidae","Alloclubionoides","cochlea","","Kim, Lee & Kwon",2007,1,"Korea"
"148",155,"urn:lsid:nmbe.ch:spidersp:024419","Agelenidae","Alloclubionoides","coreanus","","Paik",1992,0,"Korea"
"149",156,"urn:lsid:nmbe.ch:spidersp:022652","Agelenidae","Alloclubionoides","dimidiatus","","Paik",1974,1,"Korea"
"150",157,"urn:lsid:nmbe.ch:spidersp:022653","Agelenidae","Alloclubionoides","euini","","Paik",1976,1,"Korea"
"151",158,"urn:lsid:nmbe.ch:spidersp:022654","Agelenidae","Alloclubionoides","grandivulvus","","Yaginuma",1969,1,"Japan"
"152",159,"urn:lsid:nmbe.ch:spidersp:041835","Agelenidae","Alloclubionoides","jaegeri","","Kim",2007,1,"Korea"
"153",160,"urn:lsid:nmbe.ch:spidersp:042786","Agelenidae","Alloclubionoides","jirisanensis","","Kim",2009,0,"Korea"
"154",161,"urn:lsid:nmbe.ch:spidersp:022656","Agelenidae","Alloclubionoides","kimi","","Paik",1974,1,"Korea"
"155",162,"urn:lsid:nmbe.ch:spidersp:022657","Agelenidae","Alloclubionoides","lunatus","","Paik",1976,1,"Korea"
"156",163,"urn:lsid:nmbe.ch:spidersp:022658","Agelenidae","Alloclubionoides","mandzhuricus","","Ovtchinnikov",1999,1,"Russia (Far East)"
"157",164,"urn:lsid:nmbe.ch:spidersp:022811","Agelenidae","Alloclubionoides","meniscatus","","Zhu & Wang",1991,1,"China"
"158",165,"urn:lsid:nmbe.ch:spidersp:022659","Agelenidae","Alloclubionoides","napolovi","","Ovtchinnikov",1999,1,"Russia (Far East)"
"159",166,"urn:lsid:nmbe.ch:spidersp:022822","Agelenidae","Alloclubionoides","nariceus","","Zhu & Wang",1994,1,"China"
"160",167,"urn:lsid:nmbe.ch:spidersp:022660","Agelenidae","Alloclubionoides","ovatus","","Paik",1976,1,"Korea"
"161",168,"urn:lsid:nmbe.ch:spidersp:022661","Agelenidae","Alloclubionoides","paiki","","Ovtchinnikov",1999,1,"Russia (Far East)"
"162",169,"urn:lsid:nmbe.ch:spidersp:022834","Agelenidae","Alloclubionoides","paikwunensis","","Kim & Jung",1993,1,"Korea"
"163",170,"urn:lsid:nmbe.ch:spidersp:040914","Agelenidae","Alloclubionoides","pseudonariceus","","Zhang, Zhu & Song",2007,1,"China"
"164",171,"urn:lsid:nmbe.ch:spidersp:022662","Agelenidae","Alloclubionoides","quadrativulvus","","Paik",1974,1,"Korea"
"165",172,"urn:lsid:nmbe.ch:spidersp:022860","Agelenidae","Alloclubionoides","rostratus","","Song, Zhu, Gao & Guan",1993,1,"China"
"166",173,"urn:lsid:nmbe.ch:spidersp:045497","Agelenidae","Alloclubionoides","solea","","Kim & Kim",2012,0,"Korea"
"167",174,"urn:lsid:nmbe.ch:spidersp:022888","Agelenidae","Alloclubionoides","terdecimus","","Paik",1978,1,"Korea"
"168",175,"urn:lsid:nmbe.ch:spidersp:040915","Agelenidae","Alloclubionoides","triangulatus","","Zhang, Zhu & Song",2007,1,"China"
"169",176,"urn:lsid:nmbe.ch:spidersp:040916","Agelenidae","Alloclubionoides","trisaccatus","","Zhang, Zhu & Song",2007,1,"China"
"170",177,"urn:lsid:nmbe.ch:spidersp:042785","Agelenidae","Alloclubionoides","wolchulsanensis","","Kim",2009,0,"Korea"
"171",178,"urn:lsid:nmbe.ch:spidersp:021184","Agelenidae","Aterigena","aculeata","","Wang",1992,1,"China"
"172",179,"urn:lsid:nmbe.ch:spidersp:021189","Agelenidae","Aterigena","aliquoi","","Brignoli",1971,1,"Italy"
"173",180,"urn:lsid:nmbe.ch:spidersp:043487","Agelenidae","Aterigena","aspromontensis","","Bolzern, Hänggi & Burckhardt",2010,0,"Italy"
"174",181,"urn:lsid:nmbe.ch:spidersp:021247","Agelenidae","Aterigena","ligurica","","Simon",1916,1,"France, Italy"
"175",182,"urn:lsid:nmbe.ch:spidersp:021292","Agelenidae","Aterigena","soriculata","","Simon",1873,1,"France (Corsica), Italy (Sardinia)"
"176",183,"urn:lsid:nmbe.ch:spidersp:040199","Agelenidae","Azerithonica","hyrcanica","","Guseinov, Marusik & Koponen",2005,0,"Azerbaijan, Iran"
"177",184,"urn:lsid:nmbe.ch:spidersp:020922","Agelenidae","Barronopsis","arturoi","","Alayón",1993,0,"Cuba"
"178",185,"urn:lsid:nmbe.ch:spidersp:020923","Agelenidae","Barronopsis","barrowsi","","Gertsch",1934,1,"USA, Cuba, Hispaniola"
"179",186,"urn:lsid:nmbe.ch:spidersp:020926","Agelenidae","Barronopsis","floridensis","","Roth",1954,1,"USA, Bahama Is."
"180",187,"urn:lsid:nmbe.ch:spidersp:020927","Agelenidae","Barronopsis","jeffersi","","Muma",1945,1,"USA, Cuba"
"181",188,"urn:lsid:nmbe.ch:spidersp:045449","Agelenidae","Barronopsis","pelempito","","Alayón",2012,0,"Hispaniola"
"182",189,"urn:lsid:nmbe.ch:spidersp:042730","Agelenidae","Barronopsis","stephaniae","","Stocks",2009,0,"USA"
"183",190,"urn:lsid:nmbe.ch:spidersp:020928","Agelenidae","Barronopsis","texana","","Gertsch",1934,1,"USA"
"184",191,"urn:lsid:nmbe.ch:spidersp:020929","Agelenidae","Benoitia","agraulosa","","Wang & Wang",1991,1,"China"
"185",192,"urn:lsid:nmbe.ch:spidersp:020930","Agelenidae","Benoitia","bornemiszai","","Caporiacco",1947,1,"Rwanda, Tanzania"
"186",193,"urn:lsid:nmbe.ch:spidersp:020931","Agelenidae","Benoitia","deserticola","","Simon",1910,1,"Namibia, Botswana, South Africa"
"187",194,"urn:lsid:nmbe.ch:spidersp:020932","Agelenidae","Benoitia","lepida","","O. Pickard-Cambridge",1876,1,"Spain, North Africa, Turkey, Cyprus, Israel, Yemen, Saudi-Arabia, Kuwait, Iraq, Iran"
"188",195,"urn:lsid:nmbe.ch:spidersp:020933","Agelenidae","Benoitia","ocellata","","Pocock",1900,1,"Kenya, Namibia, Botswana, South Africa"
"189",196,"urn:lsid:nmbe.ch:spidersp:020934","Agelenidae","Benoitia","raymondeae","","Lessert",1915,1,"Kenya, Tanzania, South Africa"
"190",197,"urn:lsid:nmbe.ch:spidersp:020935","Agelenidae","Benoitia","rhodesiae","","Pocock",1901,1,"Southern Africa"
"191",198,"urn:lsid:nmbe.ch:spidersp:020936","Agelenidae","Benoitia","timida","","Audouin",1826,1,"Egypt, Israel"
"192",199,"urn:lsid:nmbe.ch:spidersp:020937","Agelenidae","Benoitia","upembana","","Roewer",1955,1,"Congo"
"193",201,"urn:lsid:nmbe.ch:spidersp:023104","Agelenidae","Bifidocoelotes","primus","","Fox",1937,1,"China (Hong Kong)"
"194",202,"urn:lsid:nmbe.ch:spidersp:020938","Agelenidae","Calilena","absoluta","","Gertsch",1936,1,"USA"
"195",203,"urn:lsid:nmbe.ch:spidersp:020939","Agelenidae","Calilena","adna","","Chamberlin & Ivie",1941,0,"USA"
"196",204,"urn:lsid:nmbe.ch:spidersp:020940","Agelenidae","Calilena","angelena","","Chamberlin & Ivie",1941,0,"USA, Mexico"
"197",205,"urn:lsid:nmbe.ch:spidersp:020941","Agelenidae","Calilena","arizonica","","Chamberlin & Ivie",1941,0,"USA"
"198",206,"urn:lsid:nmbe.ch:spidersp:020942","Agelenidae","Calilena","californica","","Banks",1896,1,"USA"
